canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,target_organism,assay_chembl_id
COc1ccc(C(=O)c2ccc(CN(CCN(C)C)Cc3ccccc3)cc2)cc1OC,IC50,=,8640.0,nM,5.06,B,Homo sapiens,CHEMBL1019313
CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C(=O)C1=O)Cc1ccccc1OC,IC50,=,68.9,nM,7.16,B,Homo sapiens,CHEMBL948464
COc1ccc2oc(-c3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1,IC50,=,18100.0,nM,4.74,B,Homo sapiens,CHEMBL894085
O=C(CCC1CCN(Cc2cccc([N+](=O)[O-])c2)CC1)c1ccc2c(c1)CCN2,IC50,=,64.0,nM,7.19,B,Homo sapiens,CHEMBL1119333
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,IC50,=,380.0,nM,6.42,B,Homo sapiens,CHEMBL1931825
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,40.0,nM,7.40,B,Homo sapiens,CHEMBL645001
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@H]1N2C,IC50,=,9890.0,nM,5.00,B,Homo sapiens,CHEMBL859798
CCN(C)C(=O)Oc1cccc2c1C(N)CC2.Cl,IC50,=,10500.0,nM,4.98,B,Homo sapiens,CHEMBL641288
CCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2,IC50,=,154.0,nM,6.81,B,Homo sapiens,CHEMBL875789
CNC(=O)Oc1cccc2c1OCC1CCN(C)C21,IC50,=,30.0,nM,7.52,B,Homo sapiens,CHEMBL831104
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCOC1N2C,IC50,=,27.0,nM,7.57,B,Homo sapiens,CHEMBL874440
CN[C@@H](C)C1=CC[C@H]2[C@@H]3CC=C4C[C@@H](OC)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,=,83176.38,nM,4.08,B,Homo sapiens,CHEMBL641237
COc1ccc(C)cc1OC,IC50,=,4900.0,nM,5.31,B,Homo sapiens,CHEMBL643382
Clc1cccc2c1N=C1CCCCCN1C2,IC50,=,1500.0,nM,5.82,B,Homo sapiens,CHEMBL644110
CCN(CCCCCC(=O)N[C@H]1CC[C@H](NC(=O)CCCCCN(CC)Cc2ccccc2OC)CC1)Cc1ccccc1OC,IC50,=,8550.0,nM,5.07,B,Homo sapiens,CHEMBL948464
COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1,IC50,=,50.0,nM,7.30,B,Homo sapiens,CHEMBL644119
COc1cc(Br)c(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1OC,IC50,=,1012.9,nM,5.99,B,Homo sapiens,CHEMBL868603
C=C1c2ccc(Cl)cc2N=C2CCCCCN12,IC50,=,158.49,nM,6.80,B,Homo sapiens,CHEMBL829154
