smiles,canonical,molecule_chembl_id,standard_value,class,pIC50
O=c1c2ccccc2sc2c(Cn3ccnc3)cccc12,O=c1c2ccccc2sc2c(Cn3ccnc3)cccc12,CHEMBL1083353,3.98,active,8.400116927926312
CCCCCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,CCCCCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,CHEMBL88421,3000.0,intermediate,5.522878745280337
Cc1nnc2n1-c1c(F)cc(-c3cccnc3)cc1CC2,Cc1nnc2n1-c1c(F)cc(-c3cccnc3)cc1CC2,CHEMBL3415155,10000.0,inactive,5.0
c1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,c1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL490794,1200.0,intermediate,5.920818753952375
Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)c(Cl)c1,Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)c(Cl)c1,CHEMBL304788,880.0,active,6.055517327849832
Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)s1,Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)s1,CHEMBL476979,1040.0,intermediate,5.982966660701219
COc1ccc(-c2c(SCc3ccncc3)oc3cc(OCc4ccccc4)ccc3c2=O)cc1,COc1ccc(-c2c(SCc3ccncc3)oc3cc(OCc4ccccc4)ccc3c2=O)cc1,CHEMBL186079,529.66,active,6.276002823808256
Cc1ccc2c(c1)/C(=C/c1cccnc1)CC2,Cc1ccc2c(c1)/C(=C/c1cccnc1)CC2,CHEMBL175550,3930.0,intermediate,5.405607449624573
O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,CHEMBL294878,2.0,active,8.698970004336019
CC12CCC3C(Cc4nn(Cc5ccccc5)c5c4C3(C)CCC5=O)C1CCC2=O,CC12CCC3C(Cc4nn(Cc5ccccc5)c5c4C3(C)CCC5=O)C1CCC2=O,CHEMBL133240,342.0,active,6.465973893943865
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1629805,49.0,active,7.309803919971486
CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CHEMBL74295,50.0,active,7.301029995663981
C[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,C[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL73367,1.6,active,8.795880017344075
