Compound,Type,Affinity,Status
chamanetin,Hit,-9.878,Success
burttinone,Hit,-9.875,Success
"5,7-dihydroxy-4'-methoxy-3′-(3-hydroxy-3-methylbut-1-enyl)-5′-(3-methylbut-2-enyl)flavanone",Hit,-9.547,Success
4'-O-methylsigmoidin,Hit,-9.536,Success
"5,7-dihydroxy-4'-methoxy-3'-(3-methylbutadienyl)-5'-(3-methylbut-2-enyl)flavanone",Hit,-9.462,Success
abyssinoflavone,Hit,-9.313,Success
sigmoidin,Hit,-9.184,Success
macarangin,Hit,-9.167,Success
Exemestane,Reference,-8.643,Success
"(2S)-5,7-dimethoxy-8-(3-methylbut-1,3-dienyl)flavanone",Hit,-8.549,Success
isobavachalcone,Hit,-8.414,Success
pinocembrin,Hit,-8.278,Success
chrysin,Hit,-8.235,Success
matairesinol,Hit,-8.206,Success
lawinal,Hit,-8.155,Success
"5,3',4'-trihydroxy-7-methoxyflavanone",Hit,-8.06,Success
Anastrozole,Reference,-7.62,Success
Letrozole,Reference,-7.503,Success
