Compound,Docking_Score (kcal/mol),Active_Probability,In_AD,Similarity_to_Training,SMILES
chamanetin,-9.878,0.7596079119323091,True,0.5714285714285714,Oc1cc(O)c2c(c1Cc1ccccc1O)O[C@@H](CC2=O)c1ccccc1
burttinone,-9.875,0.7053358685006805,True,0.6307692307692307,COc1c(CC=C(C)C)cc(cc1/C=C/C(O)(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
"5,7-dihydroxy-4'-methoxy-3′-(3-hydroxy-3-methylbut-1-enyl)-5′-(3-methylbut-2-enyl)flavanone",-9.547,0.7481848932833214,True,0.82,CC(=CCc1cc(cc(c1O)CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
4'-O-methylsigmoidin,-9.536,0.7110459479851332,True,0.7454545454545455,COc1c(O)cc(cc1CC=C(C)C)C1CC(=O)c2c(O1)cc(cc2O)O
"5,7-dihydroxy-4'-methoxy-3'-(3-methylbutadienyl)-5'-(3-methylbut-2-enyl)flavanone",-9.462,0.708678132302734,True,0.640625,COc1c(CC=C(C)C)cc(cc1/C=C/C(=C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
abyssinoflavone,-9.313,0.7393088277607694,True,0.6721311475409836,CC(=CCc1cc(cc(c1O)CC(C(=C)C)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
abyssinoflavone,-9.313,0.703496785034594,True,0.6153846153846154,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc2c(c1)C=CC(O2)(C)C
sigmoidin,-9.184,0.789653237344124,True,0.6507936507936508,CC(=CCc1cc(cc2c1OC(C)(C)C=C2)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.184,0.7612822789090559,True,0.7884615384615384,CC(=CCc1cc(cc(c1O)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.184,0.737516967861583,True,0.5555555555555556,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc(O)c2c(c1)C=CC(O2)(C)C
sigmoidin,-9.184,0.7246732988404458,True,0.5217391304347826,CC(=CCc1c(cc2c(c1O)OC(C=C2)(C)C)[C@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.184,0.7110459479851332,True,0.7454545454545455,COc1c(O)cc(cc1CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
sigmoidin,-9.184,0.681199083422392,True,0.6666666666666666,CC(=CCc1c(cc(c(c1O)O)CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.184,0.524432550735228,True,0.59375,COc1c(CC=C(C)C)cc(cc1OC(=O)C)C1CC(=O)c2c(O1)cc(cc2O)OC(=O)C
macarangin,-9.167,0.7221870240633567,True,0.6825396825396826,C/C(=C\Cc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(cc1)O)O)/CCC=C(C)C
"(2S)-5,7-dimethoxy-8-(3-methylbut-1,3-dienyl)flavanone",-8.549,0.7069978726253723,True,0.6545454545454545,COc1cc(O)c2c(c1/C=C/C(=C)C)O[C@@H](CC2=O)c1ccccc1
isobavachalcone,-8.414,0.7325683678818532,True,1.0,CC(=CCc1c(O)ccc(c1O)C(=O)/C=C/c1ccc(cc1)O)C
pinocembrin,-8.278,0.7716657154904079,True,1.0,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1
chrysin,-8.235,0.9773096719091948,True,1.0,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
matairesinol,-8.206,0.76,True,0.5416666666666666,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1Cc1ccc(c(c1)OC)O
lawinal,-8.155,0.7876552458470018,True,0.64,O=Cc1c2O[C@@H](CC(=O)c2c(c(c1O)C)O)c1ccccc1
"5,3',4'-trihydroxy-7-methoxyflavanone",-8.06,0.7430362023000745,True,0.75,COc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)O)O
