dataset,split,index,compound_id
3class_dedup,train,2709,CHEMBL5421409
3class_dedup,train,1302,CHEMBL49732
3class_dedup,train,1239,CHEMBL206351
3class_dedup,train,1086,CHEMBL459502
3class_dedup,train,119,CHEMBL24410
3class_dedup,train,0,CHEMBL5403643
3class_dedup,train,1798,CHEMBL4564431
3class_dedup,train,1441,CHEMBL89046
3class_dedup,train,2094,CHEMBL5426878
3class_dedup,train,2599,CHEMBL5398511
3class_dedup,train,648,CHEMBL3752102
3class_dedup,train,106,CHEMBL264724
3class_dedup,train,2724,CHEMBL3806159
3class_dedup,train,1763,CHEMBL1629805
3class_dedup,train,1549,CHEMBL5271680
3class_dedup,train,2240,CHEMBL255108
3class_dedup,train,1401,CHEMBL3753034
3class_dedup,train,488,CHEMBL5275063
3class_dedup,train,2552,CHEMBL242454
3class_dedup,train,890,CHEMBL1915167
3class_dedup,train,2872,CHEMBL224649
3class_dedup,train,1117,CHEMBL491215
3class_dedup,train,2690,CHEMBL4169756
3class_dedup,train,3032,CHEMBL1825019
3class_dedup,train,923,CHEMBL5267848
3class_dedup,train,428,CHEMBL5265932
3class_dedup,train,1853,CHEMBL490187
3class_dedup,train,934,CHEMBL3753281
3class_dedup,train,1413,CHEMBL317935
3class_dedup,train,977,CHEMBL375046
3class_dedup,train,2512,CHEMBL104047
3class_dedup,train,1306,CHEMBL2208141
3class_dedup,train,2063,CHEMBL4161789
3class_dedup,train,2373,CHEMBL1672976
3class_dedup,train,1371,CHEMBL5283375
3class_dedup,train,284,CHEMBL1915176
3class_dedup,train,563,CHEMBL268918
3class_dedup,train,2034,CHEMBL297784
3class_dedup,train,2219,CHEMBL1824749
3class_dedup,train,1342,CHEMBL2420682
3class_dedup,train,834,CHEMBL2442758
3class_dedup,train,2479,CHEMBL148903
3class_dedup,train,2647,CHEMBL5430600
3class_dedup,train,895,CHEMBL1915159
3class_dedup,train,9,CHEMBL4204862
3class_dedup,train,3010,CHEMBL1825023
3class_dedup,train,2878,CHEMBL351167
3class_dedup,train,967,CHEMBL1784791
3class_dedup,train,299,CHEMBL223421
3class_dedup,train,2447,CHEMBL5422332
3class_dedup,train,1037,CHEMBL495563
3class_dedup,train,2319,CHEMBL5397670
3class_dedup,train,1403,CHEMBL5268471
3class_dedup,train,2183,CHEMBL407092
3class_dedup,train,653,CHEMBL24946
3class_dedup,train,2306,CHEMBL5421435
3class_dedup,train,1678,CHEMBL5280449
3class_dedup,train,340,CHEMBL3752192
3class_dedup,train,918,CHEMBL229944
3class_dedup,train,2898,CHEMBL5406056
3class_dedup,train,2013,CHEMBL176287
3class_dedup,train,213,CHEMBL3622071
3class_dedup,train,1494,CHEMBL2179114
3class_dedup,train,2581,CHEMBL1098737
3class_dedup,train,767,CHEMBL307690
3class_dedup,train,1621,CHEMBL5266519
3class_dedup,train,1607,CHEMBL5288725
3class_dedup,train,2612,CHEMBL2312972
3class_dedup,train,2667,CHEMBL3105520
3class_dedup,train,755,CHEMBL425323
3class_dedup,train,2608,CHEMBL2163639
3class_dedup,train,1949,CHEMBL334958
3class_dedup,train,572,CHEMBL5395351
3class_dedup,train,1227,CHEMBL23365
3class_dedup,train,2273,CHEMBL597808
3class_dedup,train,913,CHEMBL165925
3class_dedup,train,594,CHEMBL312960
3class_dedup,train,2159,CHEMBL598020
3class_dedup,train,1844,CHEMBL135381
3class_dedup,train,1801,CHEMBL5281972
3class_dedup,train,1038,CHEMBL131921
3class_dedup,train,592,CHEMBL5400890
3class_dedup,train,2473,CHEMBL27546
3class_dedup,train,57,CHEMBL383145
3class_dedup,train,1730,CHEMBL1630274
3class_dedup,train,2465,CHEMBL5397559
3class_dedup,train,2302,CHEMBL5431850
3class_dedup,train,2593,CHEMBL32571
3class_dedup,train,534,CHEMBL90856
3class_dedup,train,1320,CHEMBL453417
3class_dedup,train,2992,CHEMBL298720
