Compound,Type,Affinity,Status
(S)-lupinifolin,Hit,-10.741,Success
postratol,Hit,-10.469,Success
lupinifolin,Hit,-10.269,Success
sigmoidin,Hit,-10.056,Success
abyssinin,Hit,-10.006,Success
6-hydroxystigmast-4-en-3-one,Hit,-9.965,Success
obovatin,Hit,-9.876,Success
"5,7-dihydroxy-4'-methoxy-3′,5′-di-(3-methylbut-2-enyl)flavanone",Hit,-9.751,Success
abyssinone,Hit,-9.717,Success
isochamanetin,Hit,-9.666,Success
erysubin,Hit,-9.636,Success
burttinone,Hit,-9.449,Success
"5,7-dihydroxy-4'-methoxy-3′-(3-hydroxy-3-methylbut-1-enyl)-5′-(3-methylbut-2-enyl)flavanone",Hit,-9.442,Success
"5,7-dihydroxy-4'-methoxy-3'-(3-methylbutadienyl)-5'-(3-methylbut-2-enyl)flavanone",Hit,-9.39,Success
abyssinoflavone,Hit,-9.38,Success
3'-prenylnaringenin,Hit,-9.363,Success
chamanetin,Hit,-9.348,Success
4'-O-methylsigmoidin,Hit,-9.31,Success
macarangin,Hit,-9.196,Success
"(2S)-5,7-dimethoxy-8-(3-methylbut-1,3-dienyl)flavanone",Hit,-9.103,Success
veprisiniol,Hit,-9.094,Success
phaseollidin,Hit,-8.976,Success
"(2S)-5,7-dimethoxy-8-(3-hydroxy-3-methylbut-1Z-enyl)flavanone",Hit,-8.829,Success
Exemestane,Reference,-8.653,Success
isobavachalcone,Hit,-8.494,Success
"3',4',5,7-tetrahydroxy-3,6-dimethoxyflavone",Hit,-8.414,Success
(2S)-7-hydroxy-5-methoxy-8-prenylflavanone,Hit,-8.405,Success
matairesinol,Hit,-8.37,Success
pinocembrin,Hit,-8.315,Success
demethoxymatteucinol,Hit,-8.31,Success
tetramethylscutellarein,Hit,-8.287,Success
7-O-methylaromadendrin,Hit,-8.271,Success
chrysin,Hit,-8.231,Success
lawinal,Hit,-8.196,Success
"7-hydroxy-4',5,6,8-tetramethoxyflavanone",Hit,-8.128,Success
6-methoxytecleanthine,Hit,-8.098,Success
"5,3',4'-trihydroxy-7-methoxyflavanone",Hit,-7.985,Success
5-hydroxy-7-methoxyflavanone,Hit,-7.94,Success
7-hydroxy-5-methoxyflavanone,Hit,-7.919,Success
acetyl,Hit,-7.871,Success
"5,7-dihydroxy-2',3',4',5'-tetramethoxyflavone",Hit,-7.868,Success
medicarpan,Hit,-7.786,Success
"5,7,4'-trihydroxy-2',3',5'-trimethoxyflavone",Hit,-7.746,Success
"4',5,7-trihydroxy-3',3,6-trimethoxyflavone",Hit,-7.717,Success
hesperetin,Hit,-7.641,Success
Anastrozole,Reference,-7.634,Success
beta-amyrin,Hit,-7.475,Success
eryvarin,Hit,-7.473,Success
"(2alpha,3beta)-dihydroxyurs-12-en-28-oic",Hit,-7.431,Success
"6,6'-dihydroxy-4'-methoxy-2-arylbenzofuran",Hit,-7.269,Success
Letrozole,Reference,-7.121,Success
3-acetoxy-beta-amyrin,Hit,-6.423,Success
3-acetoxy-alpha-amyrin,Hit,-6.388,Success
maprounic,Hit,-6.121,Success
arjunic,Hit,-6.101,Success
3beta-acetoxy,Hit,-5.221,Success
