Compound,Type,MW,cLogP,HBD,HBA,TPSA,RotB,Rings,AromaticRings,Lipinski_Violations,Lipinski_Pass,Veber_Pass,QSAR_Probability,NN_Similarity,SMILES
Letrozole,Reference,281.14599999999996,3.510580000000002,0,4,54.5,2,2,2,0,True,True,,,N#CC(C)(C)n1cnc(n1)c2ccc(Cl)cc2Cl
Anastrozole,Reference,237.266,2.0754599999999996,0,5,78.28999999999999,2,2,2,0,True,True,,,N#CC(C)(C)n1cnc(n1)c2ccc(C#N)cc2
Exemestane,Reference,286.415,4.087400000000003,0,2,34.14,0,4,0,0,True,True,,,CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C
chrysin,AfroDB_Hit,254.24099999999999,2.871200000000001,2,4,70.67,1,3,3,0,True,True,0.9773096719091948,1.0,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
sigmoidin,AfroDB_Hit,406.4780000000001,5.497200000000006,2,5,75.99000000000001,3,4,2,1,False,True,0.789653237344124,0.6507936507936508,CC(=CCc1cc(cc2c1OC(C)(C)C=C2)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
lawinal,AfroDB_Hit,298.294,2.9252200000000013,2,5,83.83000000000001,2,3,2,0,True,True,0.7876552458470018,0.64,O=Cc1c2O[C@@H](CC(=O)c2c(c(c1O)C)O)c1ccccc1
manniflavanone,AfroDB_Hit,590.4930000000003,3.108900000000002,9,13,234.66999999999996,3,6,4,3,False,False,0.7762166059112678,0.509090909090909,Oc1cc(O)c2c(c1)O[C@@H]([C@H](C2=O)c1c(O)cc(c2c1O[C@H](c1ccc(c(c1)O)O)[C@H](C2=O)O)O)c1ccc(c(c1)O)O
pinocembrin,AfroDB_Hit,256.257,2.8043000000000005,2,4,66.76,1,3,2,0,True,True,0.7716657154904079,1.0,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1
sigmoidin,AfroDB_Hit,356.3740000000001,3.7242000000000033,4,6,107.22000000000001,3,3,2,0,True,True,0.7612822789090559,0.7884615384615384,CC(=CCc1cc(cc(c1O)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
matairesinol,AfroDB_Hit,358.39000000000004,2.6894000000000013,2,6,85.22000000000001,6,3,2,0,True,True,0.76,0.5416666666666666,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1Cc1ccc(c(c1)OC)O
chamanetin,AfroDB_Hit,362.3810000000001,4.1007000000000025,3,5,86.99000000000001,3,4,3,0,True,True,0.7596079119323091,0.5714285714285714,Oc1cc(O)c2c(c1Cc1ccccc1O)O[C@@H](CC2=O)c1ccccc1
"5,7-dihydroxy-4'-methoxy-3′-(3-hydroxy-3-methylbut-1-enyl)-5′-(3-methylbut-2-enyl)flavanone",AfroDB_Hit,408.49400000000014,5.527300000000006,3,5,86.99000000000001,5,3,2,1,False,True,0.7481848932833214,0.82,CC(=CCc1cc(cc(c1O)CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
"5,3',4'-trihydroxy-7-methoxyflavanone",AfroDB_Hit,302.282,2.5185000000000013,3,6,96.22000000000001,2,3,2,0,True,True,0.7430362023000745,0.75,COc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)O)O
abyssinoflavone,AfroDB_Hit,424.49300000000017,4.498100000000005,4,6,107.22000000000001,6,3,2,0,True,True,0.7393088277607694,0.6721311475409836,CC(=CCc1cc(cc(c1O)CC(C(=C)C)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,AfroDB_Hit,354.3580000000001,3.6941000000000015,3,6,96.22000000000001,1,4,2,0,True,True,0.737516967861583,0.5555555555555556,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc(O)c2c(c1)C=CC(O2)(C)C
isobavachalcone,AfroDB_Hit,324.37600000000003,4.208200000000002,3,4,77.76,5,2,2,0,True,True,0.7325683678818532,1.0,CC(=CCc1c(O)ccc(c1O)C(=O)/C=C/c1ccc(cc1)O)C
sigmoidin,AfroDB_Hit,422.4770000000002,5.202800000000005,3,6,96.22000000000001,3,4,2,1,False,True,0.7246732988404458,0.5217391304347826,CC(=CCc1c(cc2c(c1O)OC(C=C2)(C)C)[C@H]1CC(=O)c2c(O1)cc(cc2O)O)C
macarangin,AfroDB_Hit,422.47700000000015,5.517600000000007,4,6,111.13000000000001,6,3,3,1,False,True,0.7221870240633567,0.6825396825396826,C/C(=C\Cc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(cc1)O)O)/CCC=C(C)C
4'-O-methylsigmoidin,AfroDB_Hit,370.40100000000007,4.027200000000004,3,6,96.22000000000001,4,3,2,0,True,True,0.7110459479851332,0.7454545454545455,COc1c(O)cc(cc1CC=C(C)C)C1CC(=O)c2c(O1)cc(cc2O)O
sigmoidin,AfroDB_Hit,370.40100000000007,4.027200000000004,3,6,96.22000000000001,4,3,2,0,True,True,0.7110459479851332,0.7454545454545455,COc1c(O)cc(cc1CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
"5,7-dihydroxy-4'-methoxy-3'-(3-methylbutadienyl)-5'-(3-methylbut-2-enyl)flavanone",AfroDB_Hit,420.5050000000002,5.910900000000007,2,5,75.99000000000001,6,3,2,1,False,True,0.708678132302734,0.640625,COc1c(CC=C(C)C)cc(cc1/C=C/C(=C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
"(2S)-5,7-dimethoxy-8-(3-methylbut-1,3-dienyl)flavanone",AfroDB_Hit,336.387,4.696600000000004,1,4,55.76,4,3,2,0,True,True,0.7069978726253723,0.6545454545454545,COc1cc(O)c2c(c1/C=C/C(=C)C)O[C@@H](CC2=O)c1ccccc1
