Compound,Type,Affinity,Status
dichamanetin,Hit,-11.133,Success
(S)-lupinifolin,Hit,-10.71,Success
abyssinone,Hit,-10.557,Success
postratol,Hit,-10.366,Success
lupinifolin,Hit,-10.231,Success
obovatin,Hit,-9.88,Success
macarangin,Hit,-9.813,Success
sigmoidin,Hit,-9.804,Success
"5,7-dihydroxy-4'-methoxy-3′,5′-di-(3-methylbut-2-enyl)flavanone",Hit,-9.622,Success
burttinone,Hit,-9.616,Success
isochamanetin,Hit,-9.575,Success
abyssinoflavone,Hit,-9.56,Success
chamanetin,Hit,-9.477,Success
erysubin,Hit,-9.454,Success
"5,7-dihydroxy-4'-methoxy-3′-(3-hydroxy-3-methylbut-1-enyl)-5′-(3-methylbut-2-enyl)flavanone",Hit,-9.447,Success
3'-prenylnaringenin,Hit,-9.397,Success
"5,7-dihydroxy-4'-methoxy-3'-(3-methylbutadienyl)-5'-(3-methylbut-2-enyl)flavanone",Hit,-9.394,Success
abyssinin,Hit,-9.364,Success
6-hydroxystigmast-4-en-3-one,Hit,-9.305,Success
4'-O-methylsigmoidin,Hit,-9.294,Success
veprisiniol,Hit,-9.115,Success
"(2S)-5,7-dimethoxy-8-(3-hydroxy-3-methylbut-1Z-enyl)flavanone",Hit,-8.965,Success
phaseollidin,Hit,-8.874,Success
lanceolatin,Hit,-8.761,Success
"(2S)-5,7-dimethoxy-8-(3-methylbut-1,3-dienyl)flavanone",Hit,-8.75,Success
(2S)-7-hydroxy-5-methoxy-8-prenylflavanone,Hit,-8.65,Success
Exemestane,Reference,-8.641,Success
isobavachalcone,Hit,-8.536,Success
"3',4',5,7-tetrahydroxy-3,6-dimethoxyflavone",Hit,-8.533,Success
3beta-acetoxy,Hit,-8.523,Success
matairesinol,Hit,-8.443,Success
tetramethylscutellarein,Hit,-8.403,Success
demethoxymatteucinol,Hit,-8.38,Success
pinocembrin,Hit,-8.305,Success
6-methoxytecleanthine,Hit,-8.302,Success
"7-hydroxy-4',5,6,8-tetramethoxyflavanone",Hit,-8.273,Success
chrysin,Hit,-8.225,Success
lawinal,Hit,-8.172,Success
7-O-methylaromadendrin,Hit,-8.133,Success
"5,7,4'-trihydroxy-2',3',5'-trimethoxyflavone",Hit,-8.069,Success
"5,3',4'-trihydroxy-7-methoxyflavanone",Hit,-7.979,Success
7-hydroxy-5-methoxyflavanone,Hit,-7.925,Success
"4',5,7-trihydroxy-3',3,6-trimethoxyflavone",Hit,-7.86,Success
eryvarin,Hit,-7.819,Success
medicarpan,Hit,-7.796,Success
5-hydroxy-7-methoxyflavanone,Hit,-7.795,Success
"5,7-dihydroxy-2',3',4',5'-tetramethoxyflavone",Hit,-7.729,Success
hesperetin,Hit,-7.643,Success
Anastrozole,Reference,-7.622,Success
"(2alpha,3beta)-dihydroxyurs-12-en-28-oic",Hit,-7.534,Success
beta-amyrin,Hit,-7.489,Success
arjunic,Hit,-7.296,Success
"6,6'-dihydroxy-4'-methoxy-2-arylbenzofuran",Hit,-7.276,Success
Letrozole,Reference,-7.141,Success
3-acetoxy-beta-amyrin,Hit,-6.824,Success
acetyl,Hit,-6.534,Success
3-acetoxy-alpha-amyrin,Hit,-6.278,Success
maprounic,Hit,-5.383,Success
