Compound,Docking_Score (kcal/mol),Active_Probability,In_AD,Similarity_to_Training,SMILES
dichamanetin,-11.133,0.6806179197110915,True,0.5,Oc1ccccc1Cc1c(O)c(Cc2ccccc2O)c(c2c1O[C@@H](CC2=O)c1ccccc1)O
(S)-lupinifolin,-10.71,0.7008496792834251,True,0.6461538461538462,COc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)c(CC=C(C)C)c1c(c2O)C=CC(O1)(C)C
abyssinone,-10.557,0.7009855629182268,True,0.6122448979591837,Oc1ccc2c(c1)O[C@@H](CC2=O)c1ccc2c(c1)C=CC(O2)(C)C
abyssinone,-10.557,0.5572501543612508,True,0.6507936507936508,CC(=CCc1cc(cc2c1OC(C)(C)C=C2)C1CC(=O)c2c(O1)cc(cc2)O)C
postratol,-10.366,0.616364581856046,True,0.6785714285714286,CC(=CCc1c2O[C@@H](CC(=O)c2cc(c1O)CC=C(C)C)c1ccc(c(c1)CC=C(C)C)O)C
lupinifolin,-10.231,0.7043177085980997,True,0.5147058823529411,CC(=CCc1c2OC(CC(=O)c2c(c2c1OC(C)(C)C=C2)O)c1ccc(cc1)O)C
obovatin,-9.88,0.6427820086685,True,0.5283018867924528,O=C1CC(Oc2c1c(O)cc1c2C=CC(O1)(C)C)c1ccccc1
macarangin,-9.813,0.7221870240633567,True,0.6825396825396826,C/C(=C\Cc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(cc1)O)O)/CCC=C(C)C
sigmoidin,-9.804,0.789653237344124,True,0.6507936507936508,CC(=CCc1cc(cc2c1OC(C)(C)C=C2)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.804,0.7612822789090559,True,0.7884615384615384,CC(=CCc1cc(cc(c1O)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.804,0.737516967861583,True,0.5555555555555556,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc(O)c2c(c1)C=CC(O2)(C)C
sigmoidin,-9.804,0.7246732988404458,True,0.5217391304347826,CC(=CCc1c(cc2c(c1O)OC(C=C2)(C)C)[C@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.804,0.7110459479851332,True,0.7454545454545455,COc1c(O)cc(cc1CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
sigmoidin,-9.804,0.681199083422392,True,0.6666666666666666,CC(=CCc1c(cc(c(c1O)O)CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
sigmoidin,-9.804,0.524432550735228,True,0.59375,COc1c(CC=C(C)C)cc(cc1OC(=O)C)C1CC(=O)c2c(O1)cc(cc2O)OC(=O)C
"5,7-dihydroxy-4'-methoxy-3′,5′-di-(3-methylbut-2-enyl)flavanone",-9.622,0.6962134246116947,True,0.7735849056603774,COc1c(CC=C(C)C)cc(cc1CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
burttinone,-9.616,0.7053358685006805,True,0.6307692307692307,COc1c(CC=C(C)C)cc(cc1/C=C/C(O)(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
isochamanetin,-9.575,0.661401481419674,True,0.6122448979591837,O=C1C[C@H](Oc2c1c(O)c(c(c2)O)Cc1ccccc1O)c1ccccc1
abyssinoflavone,-9.56,0.7393088277607694,True,0.6721311475409836,CC(=CCc1cc(cc(c1O)CC(C(=C)C)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
abyssinoflavone,-9.56,0.703496785034594,True,0.6153846153846154,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc2c(c1)C=CC(O2)(C)C
chamanetin,-9.477,0.7596079119323091,True,0.5714285714285714,Oc1cc(O)c2c(c1Cc1ccccc1O)O[C@@H](CC2=O)c1ccccc1
erysubin,-9.454,0.5763054757572684,True,0.5423728813559322,CC(=CCc1cc(ccc1O)c1coc2c(c1=O)ccc(c2CC=C(C)C)O)C
